Build,GPS Time,Interval ms,Channels,SIR ms,Header rows,N_freqs
4,1246190400.0,1000,76,100,5,5
Group A,Group B,Group C,Group D,Group E
L1/E1/S/B1I,L2/E6/B2I,L5/E5/B2A,L6/B1C,B3I
Time_ms,Channel,Sat_type,Sat_ID,Sat_PRN,Echo_Num,Sat_Pos_X,Sat_Pos_Y,Sat_Pos_Z,Sat_Vel_X,Sat_Vel_Y,Sat_Vel_Z,Azimuth,Elevation,Range,P-Range Group A,P-Range Group B,P-Range Group C,P-Range Group D,P-Range Group E,P-R_rate,Iono_delay Group A,Iono_delay Group B,Iono_delay Group C,Iono_delay Group D,Iono_delay Group E,Tropo_delay,P-R_Error,Signal_dB Group A,Signal_dB Group B,Signal_dB Group C,Signal_dB Group D,Signal_dB Group E,Ant_azimuth,Ant_elevation,Range_rate,P-R_Error_rate,Doppler_shift Group A,Doppler_shift Group B,Doppler_shift Group C,Doppler_shift Group D,Doppler_shift Group E,Delta_range Group A,Delta_range Group B,Delta_range Group C,Delta_range Group D,Delta_range Group E,Sat_Acc_X,Sat_Acc_Y,Sat_Acc_Z
4000,7,GPS,26,26,0,23016793.2596,1526133.9884,13299934.1783,1378.695,1000.851,-2479.466,-2.8963,1.1357,20711610.8991,20639031.2701,0.0000,0.0000,0.0000,0.0000,276.0341,7.0402e-09,0,0,0,0,9.11675e-09,0.0000,11.902,0.000,0.000,0.000,0.000,1.8159,1.1357,276.0368,0.0000,-1450.5691,0.0000,0.0000,0.0000,0.0000,275.9134,0.0000,0.0000,0.0000,0.0000,-0.217610,-0.225177,-0.280864
4000,8,GPS,20,20,0,21677670.0410,14100548.3233,6311110.9179,-885.187,7.202,2959.619,2.4828,0.6829,22128707.5556,21971093.6036,0.0000,0.0000,0.0000,0.0000,-492.2175,1.05848e-08,0,0,0,0,1.30759e-08,0.0000,11.328,0.000,0.000,0.000,0.000,0.9118,0.6829,-492.2162,0.0000,2586.6204,0.0000,0.0000,0.0000,0.0000,-491.9520,0.0000,0.0000,0.0000,0.0000,-0.341814,-0.093923,-0.133403
5000,1,GPS,7,7,0,-9119351.0694,-12573611.6994,21832475.9931,2357.488,-1333.546,171.676,-0.4508,0.1105,25352830.8273,25369882.5491,0.0000,0.0000,0.0000,0.0000,-421.0771,1.46935e-08,0,0,0,0,6.9302e-08,0.0000,10.146,0.000,0.000,0.000,0.000,-2.0218,0.1105,-421.0680,0.0000,2212.7749,0.0000,0.0000,0.0000,0.0000,-421.2481,0.0000,0.0000,0.0000,0.0000,-0.054056,-0.150183,-0.452397
5000,2,GPS,10,10,0,24095997.2311,10899169.6132,-3383690.2125,253.741,435.145,3129.731,2.8267,0.3386,23844912.6359,23846027.4194,0.0000,0.0000,0.0000,0.0000,-672.8298,1.75374e-08,0,0,0,0,2.46403e-08,0.0000,10.679,0.000,0.000,0.000,0.000,1.2557,0.3386,-672.8296,0.0000,3535.7445,0.0000,0.0000,0.0000,0.0000,-672.7453,0.0000,0.0000,0.0000,0.0000,-0.315212,-0.208293,0.071182
5000,3,GPS,21,21,0,13930530.0560,9160316.2328,21444483.2562,-2077.297,1478.753,762.399,1.1899,1.2137,21109547.6268,21158014.3746,0.0000,0.0000,0.0000,0.0000,234.5329,6.5496e-09,0,0,0,0,8.8254e-09,0.0000,11.737,0.000,0.000,0.000,0.000,-0.3811,1.2137,234.5371,0.0000,-1232.4786,0.0000,0.0000,0.0000,0.0000,234.6016,0.0000,0.0000,0.0000,0.0000,0.012744,0.169520,-0.426490
5000,4,GPS,29,29,0,4427028.8992,24638546.8989,8822707.8472,-253.269,1110.170,-2961.896,1.5861,0.2370,24315678.5640,24267439.4471,0.0000,0.0000,0.0000,0.0000,593.4186,1.7721e-08,0,0,0,0,3.44986e-08,0.0000,10.509,0.000,0.000,0.000,0.000,0.0151,0.2370,593.4105,0.0000,-3118.4356,0.0000,0.0000,0.0000,0.0000,593.7152,0.0000,0.0000,0.0000,0.0000,0.091074,-0.357280,-0.188117
5000,5,GPS,27,27,0,12074590.3208,-14875066.9885,18148709.7582,169.321,2332.812,1817.271,-1.2895,0.6668,21978338.7983,22030676.4586,0.0000,0.0000,0.0000,0.0000,-478.5082,8.61653e-09,0,0,0,0,1.33399e-08,0.0000,11.387,0.000,0.000,0.000,0.000,-2.8605,0.6668,-478.5111,0.0000,2514.5774,0.0000,0.0000,0.0000,0.0000,-478.7705,0.0000,0.0000,0.0000,0.0000,0.142598,0.218772,-0.393629
5000,6,GPS,16,16,0,16633904.2358,-4797483.4224,20079490.5556,2080.217,1516.207,-1306.697,-1.3711,1.1956,20487245.0124,20503175.1137,0.0000,0.0000,0.0000,0.0000,-112.5628,6.44789e-09,0,0,0,0,8.88663e-09,0.0000,11.997,0.000,0.000,0.000,0.000,-2.9421,1.1956,-112.5639,0.0000,591.5216,0.0000,0.0000,0.0000,0.0000,-112.7356,0.0000,0.0000,0.0000,0.0000,-0.046149,-0.226291,-0.429505
5000,7,GPS,26,26,0,23018171.8450,1527134.7262,13297454.5738,1378.478,1000.626,-2479.747,-2.8964,1.1356,20711887.0337,20639307.4020,0.0000,0.0000,0.0000,0.0000,276.2193,7.04074e-09,0,0,0,0,9.11728e-09,0.0000,11.902,0.000,0.000,0.000,0.000,1.8158,1.1356,276.2220,0.0000,-1451.5420,0.0000,0.0000,0.0000,0.0000,276.1316,0.0000,0.0000,0.0000,0.0000,-0.217657,-0.225156,-0.280816
5000,8,GPS,20,20,0,21676784.6816,14100555.4785,6314070.4746,-885.529,7.108,2959.485,2.4827,0.6830,22128215.1831,21970601.2299,0.0000,0.0000,0.0000,0.0000,-492.4837,1.05833e-08,0,0,0,0,1.30741e-08,0.0000,11.328,0.000,0.000,0.000,0.000,0.9117,0.6830,-492.4825,0.0000,2588.0195,0.0000,0.0000,0.0000,0.0000,-492.3727,0.0000,0.0000,0.0000,0.0000,-0.341811,-0.093878,-0.133468
