2,0,1000,1,GDOP, 1246190400.0
Time_ms,Pos_X,Pos_Y,Pos_Z,Vel_X,Vel_Y,Vel_Z,Acc_X,Acc_Y,Acc_Z,Jerk_X,Jerk_Y,Jerk_Z,Lat,Long,Height,Heading,Elevation,Bank,Ang-vel_X,Ang-vel_Y,Ang-vel_Z,Ang-acc_X,Ang-acc_Y,Ang-acc_Z,Ant1_Pos_X,Ant1_Pos_Y,Ant1_Pos_Z,Ant1_Vel_X,Ant1_Vel_Y,Ant1_Vel_Z,Ant1_Acc_X,Ant1_Acc_Y,Ant1_Acc_Z,Ant1_Lat,Ant1_Long,Ant1_Height,Ant1_DOP
49000,4162605.9220,664828.6510,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043343888,0.15837690602,0.0193,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162605.9220,664828.6510,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043343888,0.15837690602,0.0193,2.364
50000,4162604.3460,664838.5260,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043343874,0.15837927829,0.0201,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162604.3460,664838.5260,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043343874,0.15837927829,0.0201,2.364
51000,4162602.7700,664848.4010,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043343860,0.15838165056,0.0209,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162602.7700,664848.4010,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043343860,0.15838165056,0.0209,2.364
52000,4162601.1940,664858.2760,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043343846,0.15838402282,0.0217,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162601.1940,664858.2760,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043343846,0.15838402282,0.0217,2.364
53000,4162599.6180,664868.1510,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043343831,0.15838639509,0.0225,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162599.6180,664868.1510,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043343831,0.15838639509,0.0225,2.364
54000,4162598.0420,664878.0260,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043343816,0.15838876736,0.0234,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162598.0420,664878.0260,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043343816,0.15838876736,0.0234,2.365
55000,4162596.4660,664887.9010,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043343801,0.15839113963,0.0242,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162596.4660,664887.9010,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043343801,0.15839113963,0.0242,2.365
56000,4162594.8900,664897.7770,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043343783,0.15839351213,0.0252,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162594.8900,664897.7770,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043343783,0.15839351213,0.0252,2.365
57000,4162593.3140,664907.6520,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043343767,0.15839588440,0.0261,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162593.3140,664907.6520,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043343767,0.15839588440,0.0261,2.365
58000,4162591.7380,664917.5270,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043343751,0.15839825667,0.0270,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162591.7380,664917.5270,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043343751,0.15839825667,0.0270,2.365
